timestamp,speed,network_activity,buffer_health,resolution
2023-11-30 00:58:06,105782 Kbps,0 KB,12.18 s,3840x2160@24
2023-11-30 00:58:07,105305 Kbps,1645 KB,11.17 s,3840x2160@24
2023-11-30 00:58:09,105655 Kbps,0 KB,13.49 s,3840x2160@24
2023-11-30 00:58:10,105655 Kbps,0 KB,11.99 s,3840x2160@24
2023-11-30 00:58:11,105655 Kbps,0 KB,10.98 s,3840x2160@24
2023-11-30 00:58:12,102909 Kbps,1421 KB,9.98 s,3840x2160@24
2023-11-30 00:58:13,101390 Kbps,0 KB,13.38 s,3840x2160@24
2023-11-30 00:58:14,101390 Kbps,0 KB,12.38 s,3840x2160@24
2023-11-30 00:58:15,101294 Kbps,0 KB,13.85 s,3840x2160@24
2023-11-30 00:58:16,101380 Kbps,0 KB,12.85 s,3840x2160@24
2023-11-30 00:58:17,101380 Kbps,0 KB,11.84 s,3840x2160@24
2023-11-30 00:58:18,101812 Kbps,1836 KB,10.83 s,3840x2160@24
2023-11-30 00:58:20,101839 Kbps,0 KB,11.87 s,3840x2160@24
2023-11-30 00:58:21,99942 Kbps,1801 KB,10.86 s,3840x2160@24
2023-11-30 00:58:22,99942 Kbps,0 KB,12.13 s,3840x2160@24
2023-11-30 00:58:23,99968 Kbps,784 KB,11.13 s,3840x2160@24
2023-11-30 00:58:24,99116 Kbps,0 KB,13.71 s,3840x2160@24
2023-11-30 00:58:25,99116 Kbps,0 KB,12.69 s,3840x2160@24
2023-11-30 00:58:26,99116 Kbps,0 KB,11.69 s,3840x2160@24
2023-11-30 00:58:27,99249 Kbps,406 KB,14.72 s,3840x2160@24
2023-11-30 00:58:28,99249 Kbps,0 KB,13.71 s,3840x2160@24
2023-11-30 00:58:29,99249 Kbps,0 KB,12.70 s,3840x2160@24
2023-11-30 00:58:31,100019 Kbps,774 KB,11.70 s,3840x2160@24
2023-11-30 00:58:32,100867 Kbps,0 KB,14.10 s,3840x2160@24
2023-11-30 00:58:33,100867 Kbps,0 KB,13.10 s,3840x2160@24
2023-11-30 00:58:34,102158 Kbps,1316 KB,11.58 s,3840x2160@24
2023-11-30 00:58:35,103470 Kbps,0 KB,14.03 s,3840x2160@24
2023-11-30 00:58:36,103470 Kbps,0 KB,13.03 s,3840x2160@24
2023-11-30 00:58:37,103470 Kbps,0 KB,12.02 s,3840x2160@24
2023-11-30 00:58:38,108764 Kbps,1493 KB,11.01 s,3840x2160@24
2023-11-30 00:58:39,108955 Kbps,0 KB,12.42 s,3840x2160@24
2023-11-30 00:58:40,108955 Kbps,0 KB,11.40 s,3840x2160@24
2023-11-30 00:58:42,106468 Kbps,1953 KB,10.40 s,3840x2160@24
2023-11-30 00:58:43,107154 Kbps,0 KB,12.06 s,3840x2160@24
2023-11-30 00:58:44,107462 Kbps,1183 KB,11.06 s,3840x2160@24
2023-11-30 00:58:45,103885 Kbps,0 KB,12.50 s,3840x2160@24
2023-11-30 00:58:46,106272 Kbps,847 KB,11.50 s,3840x2160@24
2023-11-30 00:58:47,79713 Kbps,0 KB,12.58 s,3840x2160@24
2023-11-30 00:58:48,79713 Kbps,0 KB,11.56 s,3840x2160@24
2023-11-30 00:58:49,81508 Kbps,1270 KB,10.56 s,3840x2160@24
2023-11-30 00:58:50,81919 Kbps,0 KB,12.18 s,3840x2160@24
2023-11-30 00:58:51,77786 Kbps,1099 KB,13.62 s,3840x2160@24
2023-11-30 00:58:53,77786 Kbps,0 KB,12.62 s,3840x2160@24
2023-11-30 00:58:54,77786 Kbps,0 KB,11.61 s,3840x2160@24
2023-11-30 00:58:55,79399 Kbps,297 KB,12.64 s,3840x2160@24
2023-11-30 00:58:56,79399 Kbps,0 KB,11.63 s,3840x2160@24
2023-11-30 00:58:57,78150 Kbps,0 KB,12.99 s,3840x2160@24
2023-11-30 00:58:58,78150 Kbps,0 KB,11.99 s,3840x2160@24
2023-11-30 00:58:59,77269 Kbps,1623 KB,10.98 s,3840x2160@24
2023-11-30 00:59:00,77943 Kbps,1116 KB,12.02 s,3840x2160@24
2023-11-30 00:59:01,76863 Kbps,120 KB,13.17 s,3840x2160@24
2023-11-30 00:59:02,76863 Kbps,0 KB,11.66 s,3840x2160@24
2023-11-30 00:59:04,75963 Kbps,2083 KB,10.73 s,3840x2160@24
2023-11-30 00:59:05,76001 Kbps,1568 KB,11.98 s,3840x2160@24
2023-11-30 00:59:06,94814 Kbps,0 KB,13.02 s,3840x2160@24
2023-11-30 00:59:07,94814 Kbps,0 KB,12.00 s,3840x2160@24
2023-11-30 00:59:08,94846 Kbps,1506 KB,10.99 s,3840x2160@24
2023-11-30 00:59:09,92114 Kbps,0 KB,12.10 s,3840x2160@24
2023-11-30 00:59:10,95091 Kbps,1530 KB,11.09 s,3840x2160@24
2023-11-30 00:59:11,95794 Kbps,0 KB,12.58 s,3840x2160@24
2023-11-30 00:59:12,97826 Kbps,1102 KB,11.57 s,3840x2160@24
2023-11-30 00:59:13,100107 Kbps,0 KB,13.61 s,3840x2160@24
2023-11-30 00:59:15,100107 Kbps,0 KB,12.60 s,3840x2160@24
2023-11-30 00:59:16,100107 Kbps,0 KB,11.09 s,3840x2160@24
2023-11-30 00:59:17,96333 Kbps,387 KB,10.08 s,3840x2160@24
2023-11-30 00:59:18,86937 Kbps,355 KB,11.07 s,3840x2160@24
2023-11-30 00:59:19,76692 Kbps,318 KB,11.43 s,3840x2160@24
2023-11-30 00:59:20,58821 Kbps,165 KB,11.01 s,3840x2160@24
2023-11-30 00:59:21,44697 Kbps,421 KB,9.50 s,3840x2160@24
2023-11-30 00:59:22,28512 Kbps,272 KB,8.49 s,3840x2160@24
2023-11-30 00:59:23,21825 Kbps,194 KB,7.48 s,3840x2160@24
2023-11-30 00:59:24,15206 Kbps,185 KB,9.01 s,3840x2160@24
2023-11-30 00:59:26,13400 Kbps,261 KB,8.51 s,3840x2160@24
2023-11-30 00:59:27,13890 Kbps,301 KB,8.55 s,3840x2160@24
2023-11-30 00:59:28,14588 Kbps,273 KB,7.53 s,3840x2160@24
2023-11-30 00:59:29,14356 Kbps,351 KB,6.52 s,3840x2160@24
2023-11-30 00:59:30,14319 Kbps,420 KB,8.05 s,3840x2160@24
2023-11-30 00:59:31,14713 Kbps,281 KB,7.04 s,3840x2160@24
2023-11-30 00:59:32,16051 Kbps,414 KB,5.53 s,3840x2160@24
2023-11-30 00:59:33,17504 Kbps,362 KB,7.48 s,3840x2160@24
2023-11-30 00:59:34,19267 Kbps,433 KB,6.48 s,3840x2160@24
2023-11-30 00:59:36,20468 Kbps,484 KB,5.47 s,3840x2160@24
2023-11-30 00:59:37,20607 Kbps,581 KB,4.46 s,3840x2160@24
2023-11-30 00:59:38,20642 Kbps,564 KB,5.49 s,3840x2160@24
2023-11-30 00:59:39,21606 Kbps,374 KB,4.49 s,3840x2160@24
2023-11-30 00:59:40,22334 Kbps,95 KB,6.30 s,3840x2160@24
2023-11-30 00:59:41,22473 Kbps,338 KB,5.30 s,3840x2160@24
2023-11-30 00:59:42,21810 Kbps,398 KB,4.30 s,3840x2160@24
2023-11-30 00:59:43,23495 Kbps,474 KB,3.30 s,3840x2160@24
2023-11-30 00:59:44,22056 Kbps,306 KB,3.81 s,3840x2160@24
2023-11-30 00:59:45,20635 Kbps,237 KB,3.81 s,3840x2160@24
2023-11-30 00:59:46,19689 Kbps,281 KB,3.30 s,3840x2160@24
2023-11-30 00:59:48,19303 Kbps,411 KB,2.49 s,3840x2160@24
2023-11-30 00:59:49,18766 Kbps,460 KB,2.83 s,3840x2160@24
2023-11-30 00:59:50,20002 Kbps,496 KB,2.15 s,3840x2160@24
2023-11-30 00:59:51,19395 Kbps,410 KB,1.94 s,3840x2160@24
2023-11-30 00:59:52,19800 Kbps,414 KB,1.93 s,3840x2160@24
2023-11-30 00:59:53,21011 Kbps,368 KB,1.72 s,3840x2160@24
2023-11-30 00:59:54,25948 Kbps,578 KB,1.58 s,3840x2160@24
