timestamp,speed,network_activity,buffer_health,resolution
2023-11-30 01:25:43,35127 Kbps,0 KB,13.22 s,2560x1440@24
2023-11-30 01:25:44,35127 Kbps,0 KB,12.45 s,2560x1440@24
2023-11-30 01:25:45,39078 Kbps,1934 KB,12.41 s,2560x1440@24
2023-11-30 01:25:46,40326 Kbps,0 KB,16.73 s,2560x1440@24
2023-11-30 01:25:47,40326 Kbps,0 KB,15.73 s,2560x1440@24
2023-11-30 01:25:48,44255 Kbps,1915 KB,14.72 s,2560x1440@24
2023-11-30 01:25:49,44942 Kbps,0 KB,17.79 s,2560x1440@24
2023-11-30 01:25:50,46435 Kbps,41 KB,19.61 s,2560x1440@24
2023-11-30 01:25:51,50289 Kbps,1015 KB,18.60 s,2560x1440@24
2023-11-30 01:25:53,50681 Kbps,0 KB,20.60 s,2560x1440@24
2023-11-30 01:25:54,53289 Kbps,1193 KB,19.59 s,2560x1440@24
2023-11-30 01:25:55,56803 Kbps,0 KB,22.13 s,2560x1440@24
2023-11-30 01:25:56,58911 Kbps,1312 KB,21.12 s,2560x1440@24
2023-11-30 01:25:57,61605 Kbps,0 KB,25.11 s,2560x1440@24
2023-11-30 01:25:58,66675 Kbps,846 KB,28.60 s,2560x1440@24
2023-11-30 01:25:59,66675 Kbps,0 KB,27.59 s,2560x1440@24
2023-11-30 01:26:00,66675 Kbps,0 KB,26.58 s,2560x1440@24
2023-11-30 01:26:01,66675 Kbps,0 KB,25.56 s,2560x1440@24
2023-11-30 01:26:02,73582 Kbps,272 KB,31.56 s,2560x1440@24
2023-11-30 01:26:03,73582 Kbps,0 KB,30.55 s,2560x1440@24
2023-11-30 01:26:04,73582 Kbps,0 KB,29.55 s,2560x1440@24
2023-11-30 01:26:05,73582 Kbps,0 KB,28.04 s,2560x1440@24
2023-11-30 01:26:07,73582 Kbps,0 KB,27.03 s,2560x1440@24
2023-11-30 01:26:08,73582 Kbps,0 KB,26.01 s,2560x1440@24
2023-11-30 01:26:09,75945 Kbps,0 KB,31.46 s,2560x1440@24
2023-11-30 01:26:10,75945 Kbps,0 KB,30.44 s,2560x1440@24
2023-11-30 01:26:11,75945 Kbps,0 KB,29.44 s,2560x1440@24
2023-11-30 01:26:12,75945 Kbps,0 KB,27.92 s,2560x1440@24
2023-11-30 01:26:13,75945 Kbps,0 KB,26.91 s,2560x1440@24
2023-11-30 01:26:14,76794 Kbps,907 KB,25.91 s,2560x1440@24
2023-11-30 01:26:15,78346 Kbps,0 KB,31.90 s,2560x1440@24
2023-11-30 01:26:16,78346 Kbps,0 KB,30.90 s,2560x1440@24
2023-11-30 01:26:17,78346 Kbps,0 KB,29.89 s,2560x1440@24
2023-11-30 01:26:19,78346 Kbps,0 KB,28.37 s,2560x1440@24
2023-11-30 01:26:20,78346 Kbps,0 KB,27.37 s,2560x1440@24
2023-11-30 01:26:21,78346 Kbps,0 KB,26.36 s,2560x1440@24
2023-11-30 01:26:22,80057 Kbps,1972 KB,25.36 s,2560x1440@24
2023-11-30 01:26:23,80275 Kbps,0 KB,30.85 s,2560x1440@24
2023-11-30 01:26:24,80275 Kbps,0 KB,29.84 s,2560x1440@24
2023-11-30 01:26:25,80275 Kbps,0 KB,28.84 s,2560x1440@24
2023-11-30 01:26:26,80275 Kbps,0 KB,27.32 s,2560x1440@24
2023-11-30 01:26:27,80275 Kbps,0 KB,26.32 s,2560x1440@24
2023-11-30 01:26:28,82238 Kbps,1557 KB,25.30 s,2560x1440@24
2023-11-30 01:26:29,83425 Kbps,0 KB,31.29 s,2560x1440@24
2023-11-30 01:26:30,83425 Kbps,0 KB,30.27 s,2560x1440@24
2023-11-30 01:26:32,83425 Kbps,0 KB,29.27 s,2560x1440@24
2023-11-30 01:26:33,83425 Kbps,0 KB,27.76 s,2560x1440@24
2023-11-30 01:26:34,83425 Kbps,0 KB,26.75 s,2560x1440@24
2023-11-30 01:26:35,83441 Kbps,1279 KB,26.71 s,2560x1440@24
2023-11-30 01:26:36,83441 Kbps,0 KB,31.33 s,2560x1440@24
2023-11-30 01:26:37,83441 Kbps,0 KB,30.32 s,2560x1440@24
2023-11-30 01:26:38,83441 Kbps,0 KB,29.32 s,2560x1440@24
2023-11-30 01:26:39,83441 Kbps,0 KB,28.30 s,2560x1440@24
2023-11-30 01:26:40,83441 Kbps,0 KB,26.78 s,2560x1440@24
2023-11-30 01:26:41,83441 Kbps,0 KB,25.75 s,2560x1440@24
2023-11-30 01:26:42,86001 Kbps,157 KB,31.74 s,2560x1440@24
2023-11-30 01:26:43,86001 Kbps,0 KB,30.73 s,2560x1440@24
2023-11-30 01:26:45,86001 Kbps,0 KB,29.73 s,2560x1440@24
2023-11-30 01:26:46,86001 Kbps,0 KB,28.72 s,2560x1440@24
2023-11-30 01:26:47,86001 Kbps,0 KB,27.20 s,2560x1440@24
2023-11-30 01:26:48,86001 Kbps,0 KB,26.20 s,2560x1440@24
2023-11-30 01:26:49,87419 Kbps,0 KB,31.61 s,2560x1440@24
2023-11-30 01:26:50,87419 Kbps,0 KB,30.60 s,2560x1440@24
2023-11-30 01:26:51,87419 Kbps,0 KB,29.59 s,2560x1440@24
2023-11-30 01:26:52,87419 Kbps,0 KB,28.57 s,2560x1440@24
2023-11-30 01:26:53,87419 Kbps,0 KB,27.06 s,2560x1440@24
2023-11-30 01:26:54,87215 Kbps,57 KB,26.06 s,2560x1440@24
2023-11-30 01:26:56,87956 Kbps,0 KB,28.26 s,2560x1440@24
2023-11-30 01:26:57,87956 Kbps,0 KB,27.26 s,2560x1440@24
2023-11-30 01:26:58,87956 Kbps,0 KB,26.25 s,2560x1440@24
2023-11-30 01:26:59,87956 Kbps,0 KB,25.25 s,2560x1440@24
2023-11-30 01:27:00,82664 Kbps,277 KB,23.73 s,2560x1440@24
2023-11-30 01:27:01,81770 Kbps,188 KB,26.31 s,2560x1440@24
2023-11-30 01:27:02,81407 Kbps,167 KB,25.50 s,2560x1440@24
2023-11-30 01:27:03,78587 Kbps,369 KB,24.49 s,2560x1440@24
2023-11-30 01:27:04,75084 Kbps,350 KB,26.16 s,2560x1440@24
2023-11-30 01:27:05,70225 Kbps,385 KB,26.44 s,2560x1440@24
2023-11-30 01:27:06,54796 Kbps,455 KB,24.97 s,2560x1440@24
2023-11-30 01:27:07,34041 Kbps,0 KB,30.00 s,2560x1440@24
2023-11-30 01:27:09,34041 Kbps,0 KB,28.99 s,2560x1440@24
2023-11-30 01:27:10,34041 Kbps,0 KB,27.98 s,2560x1440@24
2023-11-30 01:27:11,34041 Kbps,0 KB,26.96 s,2560x1440@24
2023-11-30 01:27:12,34041 Kbps,0 KB,28.96 s,2560x1440@24
2023-11-30 01:27:13,34041 Kbps,0 KB,27.94 s,2560x1440@24
2023-11-30 01:27:14,34041 Kbps,0 KB,26.43 s,2560x1440@24
2023-11-30 01:27:15,27801 Kbps,393 KB,25.42 s,2560x1440@24
2023-11-30 01:27:16,19495 Kbps,269 KB,24.41 s,2560x1440@24
2023-11-30 01:27:17,19742 Kbps,87 KB,27.20 s,2560x1440@24
2023-11-30 01:27:18,19742 Kbps,0 KB,26.19 s,2560x1440@24
2023-11-30 01:27:19,19742 Kbps,0 KB,25.17 s,2560x1440@24
2023-11-30 01:27:21,19838 Kbps,483 KB,23.66 s,2560x1440@24
2023-11-30 01:27:22,19473 Kbps,374 KB,22.65 s,2560x1440@24
2023-11-30 01:27:23,19408 Kbps,0 KB,27.23 s,2560x1440@24
2023-11-30 01:27:24,19408 Kbps,0 KB,26.22 s,2560x1440@24
2023-11-30 01:27:25,19667 Kbps,529 KB,25.21 s,2560x1440@24
2023-11-30 01:27:26,20454 Kbps,488 KB,24.21 s,2560x1440@24
2023-11-30 01:27:27,21605 Kbps,0 KB,29.70 s,2560x1440@24
2023-11-30 01:27:28,21605 Kbps,0 KB,28.69 s,2560x1440@24
2023-11-30 01:27:29,21605 Kbps,0 KB,27.68 s,2560x1440@24
2023-11-30 01:27:30,21605 Kbps,0 KB,26.67 s,2560x1440@24
2023-11-30 01:27:31,21605 Kbps,0 KB,25.66 s,2560x1440@24
2023-11-30 01:27:33,21605 Kbps,0 KB,28.19 s,2560x1440@24
2023-11-30 01:27:34,21605 Kbps,0 KB,26.68 s,2560x1440@24
2023-11-30 01:27:35,21605 Kbps,4 KB,25.67 s,2560x1440@24
2023-11-30 01:27:36,20999 Kbps,336 KB,24.66 s,2560x1440@24
2023-11-30 01:27:37,21581 Kbps,323 KB,23.65 s,2560x1440@24
2023-11-30 01:27:38,21857 Kbps,0 KB,27.15 s,2560x1440@24
2023-11-30 01:27:39,21857 Kbps,0 KB,26.13 s,2560x1440@24
2023-11-30 01:27:40,21857 Kbps,0 KB,24.63 s,2560x1440@24
2023-11-30 01:27:41,21986 Kbps,532 KB,23.61 s,2560x1440@24
2023-11-30 01:27:42,22093 Kbps,231 KB,26.56 s,2560x1440@24
2023-11-30 01:27:43,21848 Kbps,72 KB,25.56 s,2560x1440@24
2023-11-30 01:27:44,21717 Kbps,435 KB,24.54 s,2560x1440@24
2023-11-30 01:27:46,24040 Kbps,344 KB,23.54 s,2560x1440@24
2023-11-30 01:27:47,21943 Kbps,0 KB,26.07 s,2560x1440@24
2023-11-30 01:27:48,21339 Kbps,284 KB,24.55 s,2560x1440@24
2023-11-30 01:27:49,22243 Kbps,320 KB,23.55 s,2560x1440@24
2023-11-30 01:27:50,21714 Kbps,0 KB,26.66 s,2560x1440@24
2023-11-30 01:27:51,21729 Kbps,123 KB,25.65 s,2560x1440@24
