timestamp,speed,network_activity,buffer_health,resolution
2023-11-30 13:48:06,36919 Kbps,0 KB,17.90 s,1280x720@24
2023-11-30 13:48:07,36921 Kbps,227 KB,16.89 s,1280x720@24
2023-11-30 13:48:08,36921 Kbps,0 KB,20.97 s,1280x720@24
2023-11-30 13:48:09,39658 Kbps,628 KB,19.96 s,1280x720@24
2023-11-30 13:48:10,41999 Kbps,0 KB,26.73 s,1280x720@24
2023-11-30 13:48:12,41999 Kbps,0 KB,25.72 s,1280x720@24
2023-11-30 13:48:13,41999 Kbps,0 KB,24.71 s,1280x720@24
2023-11-30 13:48:14,48423 Kbps,1590 KB,23.69 s,1280x720@24
2023-11-30 13:48:15,58539 Kbps,0 KB,29.31 s,1280x720@24
2023-11-30 13:48:16,58539 Kbps,0 KB,27.81 s,1280x720@24
2023-11-30 13:48:17,49495 Kbps,0 KB,48.75 s,1280x720@24
2023-11-30 13:48:18,49495 Kbps,0 KB,47.74 s,1280x720@24
2023-11-30 13:48:19,49495 Kbps,0 KB,46.73 s,1280x720@24
2023-11-30 13:48:20,49495 Kbps,0 KB,45.72 s,1280x720@24
2023-11-30 13:48:21,49495 Kbps,0 KB,44.71 s,1280x720@24
2023-11-30 13:48:23,49495 Kbps,0 KB,43.19 s,1280x720@24
2023-11-30 13:48:24,49495 Kbps,0 KB,42.18 s,1280x720@24
2023-11-30 13:48:25,49495 Kbps,0 KB,41.17 s,1280x720@24
2023-11-30 13:48:26,49495 Kbps,0 KB,40.16 s,1280x720@24
2023-11-30 13:48:27,49495 Kbps,0 KB,39.15 s,1280x720@24
2023-11-30 13:48:28,49495 Kbps,0 KB,37.64 s,1280x720@24
2023-11-30 13:48:29,51923 Kbps,0 KB,44.68 s,1280x720@24
2023-11-30 13:48:30,51923 Kbps,0 KB,43.66 s,1280x720@24
2023-11-30 13:48:31,51923 Kbps,0 KB,42.66 s,1280x720@24
2023-11-30 13:48:33,48984 Kbps,0 KB,49.32 s,1280x720@24
2023-11-30 13:48:34,48984 Kbps,0 KB,47.75 s,1280x720@24
2023-11-30 13:48:35,48984 Kbps,0 KB,46.75 s,1280x720@24
2023-11-30 13:48:36,53022 Kbps,961 KB,45.73 s,1280x720@24
2023-11-30 13:48:37,53060 Kbps,0 KB,65.51 s,1280x720@24
2023-11-30 13:48:38,53060 Kbps,0 KB,64.23 s,1280x720@24
2023-11-30 13:48:39,53060 Kbps,0 KB,63.21 s,1280x720@24
2023-11-30 13:48:40,53060 Kbps,0 KB,62.20 s,1280x720@24
2023-11-30 13:48:41,53060 Kbps,0 KB,61.18 s,1280x720@24
2023-11-30 13:48:43,53060 Kbps,0 KB,60.17 s,1280x720@24
2023-11-30 13:48:44,53060 Kbps,0 KB,59.16 s,1280x720@24
2023-11-30 13:48:45,53060 Kbps,0 KB,57.64 s,1280x720@24
2023-11-30 13:48:46,53060 Kbps,0 KB,56.64 s,1280x720@24
2023-11-30 13:48:47,55061 Kbps,339 KB,67.16 s,1280x720@24
2023-11-30 13:48:48,55061 Kbps,0 KB,66.16 s,1280x720@24
2023-11-30 13:48:49,55061 Kbps,0 KB,65.15 s,1280x720@24
2023-11-30 13:48:50,55061 Kbps,0 KB,63.63 s,1280x720@24
2023-11-30 13:48:51,55061 Kbps,0 KB,62.62 s,1280x720@24
2023-11-30 13:48:53,55948 Kbps,0 KB,66.19 s,1280x720@24
2023-11-30 13:48:54,55948 Kbps,0 KB,65.18 s,1280x720@24
2023-11-30 13:48:55,59112 Kbps,0 KB,82.23 s,1280x720@24
2023-11-30 13:48:56,59112 Kbps,0 KB,80.72 s,1280x720@24
2023-11-30 13:48:57,59112 Kbps,0 KB,79.71 s,1280x720@24
2023-11-30 13:48:58,59112 Kbps,0 KB,78.70 s,1280x720@24
2023-11-30 13:48:59,59112 Kbps,0 KB,77.69 s,1280x720@24
2023-11-30 13:49:00,59112 Kbps,0 KB,76.66 s,1280x720@24
2023-11-30 13:49:01,59112 Kbps,0 KB,75.15 s,1280x720@24
2023-11-30 13:49:03,59112 Kbps,0 KB,74.12 s,1280x720@24
2023-11-30 13:49:04,64283 Kbps,1765 KB,73.10 s,1280x720@24
2023-11-30 13:49:05,64283 Kbps,0 KB,82.26 s,1280x720@24
2023-11-30 13:49:06,64283 Kbps,0 KB,81.24 s,1280x720@24
2023-11-30 13:49:07,64283 Kbps,0 KB,79.73 s,1280x720@24
2023-11-30 13:49:08,64283 Kbps,0 KB,83.84 s,1280x720@24
2023-11-30 13:49:09,64283 Kbps,0 KB,82.82 s,1280x720@24
2023-11-30 13:49:10,64283 Kbps,0 KB,81.80 s,1280x720@24
2023-11-30 13:49:11,64283 Kbps,0 KB,80.79 s,1280x720@24
2023-11-30 13:49:13,62763 Kbps,569 KB,81.32 s,1280x720@24
2023-11-30 13:49:14,59299 Kbps,0 KB,82.51 s,1280x720@24
2023-11-30 13:49:15,59299 Kbps,0 KB,81.50 s,1280x720@24
2023-11-30 13:49:16,59299 Kbps,0 KB,80.49 s,1280x720@24
2023-11-30 13:49:17,59299 Kbps,0 KB,82.48 s,1280x720@24
2023-11-30 13:49:18,59299 Kbps,0 KB,81.47 s,1280x720@24
2023-11-30 13:49:19,59299 Kbps,0 KB,86.94 s,1280x720@24
2023-11-30 13:49:20,59299 Kbps,0 KB,85.94 s,1280x720@24
2023-11-30 13:49:21,59299 Kbps,0 KB,84.94 s,1280x720@24
2023-11-30 13:49:23,59299 Kbps,0 KB,83.92 s,1280x720@24
2023-11-30 13:49:24,59299 Kbps,0 KB,82.91 s,1280x720@24
2023-11-30 13:49:25,59299 Kbps,0 KB,81.39 s,1280x720@24
2023-11-30 13:49:26,59299 Kbps,0 KB,80.38 s,1280x720@24
2023-11-30 13:49:27,59299 Kbps,0 KB,82.99 s,1280x720@24
2023-11-30 13:49:28,59299 Kbps,0 KB,81.98 s,1280x720@24
2023-11-30 13:49:29,59299 Kbps,0 KB,80.96 s,1280x720@24
2023-11-30 13:49:30,57473 Kbps,562 KB,79.44 s,1280x720@24
2023-11-30 13:49:31,55548 Kbps,0 KB,85.43 s,1280x720@24
2023-11-30 13:49:32,55548 Kbps,0 KB,84.42 s,1280x720@24
2023-11-30 13:49:34,55548 Kbps,0 KB,83.41 s,1280x720@24
2023-11-30 13:49:35,55548 Kbps,0 KB,82.39 s,1280x720@24
2023-11-30 13:49:36,55548 Kbps,0 KB,80.88 s,1280x720@24
2023-11-30 13:49:37,55548 Kbps,0 KB,79.86 s,1280x720@24
2023-11-30 13:49:38,55548 Kbps,0 KB,81.84 s,1280x720@24
2023-11-30 13:49:39,55548 Kbps,0 KB,80.84 s,1280x720@24
2023-11-30 13:49:40,55548 Kbps,0 KB,79.83 s,1280x720@24
2023-11-30 13:49:41,55548 Kbps,0 KB,83.07 s,1280x720@24
2023-11-30 13:49:42,55548 Kbps,0 KB,82.05 s,1280x720@24
2023-11-30 13:49:44,55548 Kbps,0 KB,81.04 s,1280x720@24
2023-11-30 13:49:45,55548 Kbps,0 KB,80.03 s,1280x720@24
2023-11-30 13:49:46,55226 Kbps,491 KB,86.01 s,1280x720@24
2023-11-30 13:49:47,55710 Kbps,0 KB,84.49 s,1280x720@24
2023-11-30 13:49:48,55710 Kbps,0 KB,83.48 s,1280x720@24
2023-11-30 13:49:49,55710 Kbps,0 KB,82.47 s,1280x720@24
2023-11-30 13:49:50,55710 Kbps,0 KB,81.45 s,1280x720@24
2023-11-30 13:49:51,55710 Kbps,0 KB,80.44 s,1280x720@24
2023-11-30 13:49:52,55710 Kbps,0 KB,84.63 s,1280x720@24
2023-11-30 13:49:54,55710 Kbps,0 KB,83.61 s,1280x720@24
2023-11-30 13:49:55,55710 Kbps,0 KB,82.60 s,1280x720@24
2023-11-30 13:49:56,55710 Kbps,0 KB,81.57 s,1280x720@24
2023-11-30 13:49:57,55710 Kbps,0 KB,80.56 s,1280x720@24
2023-11-30 13:49:58,55710 Kbps,0 KB,86.05 s,1280x720@24
2023-11-30 13:49:59,55710 Kbps,0 KB,85.04 s,1280x720@24
2023-11-30 13:50:00,55710 Kbps,0 KB,84.02 s,1280x720@24
2023-11-30 13:50:01,55710 Kbps,0 KB,83.00 s,1280x720@24
2023-11-30 13:50:02,55710 Kbps,0 KB,81.99 s,1280x720@24
2023-11-30 13:50:04,55710 Kbps,0 KB,80.45 s,1280x720@24
2023-11-30 13:50:05,55710 Kbps,0 KB,79.45 s,1280x720@24
2023-11-30 13:50:06,55710 Kbps,0 KB,83.18 s,1280x720@24
2023-11-30 13:50:07,55710 Kbps,0 KB,82.16 s,1280x720@24
2023-11-30 13:50:08,55710 Kbps,0 KB,81.15 s,1280x720@24
2023-11-30 13:50:09,55710 Kbps,0 KB,79.63 s,1280x720@24
2023-11-30 13:50:10,55922 Kbps,0 KB,82.75 s,1280x720@24
2023-11-30 13:50:11,55922 Kbps,0 KB,81.75 s,1280x720@24
2023-11-30 13:50:12,55922 Kbps,0 KB,80.73 s,1280x720@24
2023-11-30 13:50:14,55922 Kbps,0 KB,79.71 s,1280x720@24
2023-11-30 13:50:15,55922 Kbps,0 KB,85.70 s,1280x720@24
2023-11-30 13:50:16,55922 Kbps,0 KB,84.18 s,1280x720@24
2023-11-30 13:50:17,55922 Kbps,0 KB,83.15 s,1280x720@24
2023-11-30 13:50:18,55922 Kbps,0 KB,82.15 s,1280x720@24
2023-11-30 13:50:19,55922 Kbps,0 KB,81.12 s,1280x720@24
2023-11-30 13:50:20,55922 Kbps,0 KB,79.60 s,1280x720@24
2023-11-30 13:50:21,56816 Kbps,0 KB,81.97 s,1280x720@24
2023-11-30 13:50:22,56816 Kbps,0 KB,80.96 s,1280x720@24
2023-11-30 13:50:23,56816 Kbps,0 KB,85.95 s,1280x720@24
2023-11-30 13:50:25,56816 Kbps,0 KB,84.95 s,1280x720@24
2023-11-30 13:50:26,56816 Kbps,0 KB,83.92 s,1280x720@24
2023-11-30 13:50:27,56816 Kbps,0 KB,82.40 s,1280x720@24
2023-11-30 13:50:28,56816 Kbps,0 KB,81.40 s,1280x720@24
2023-11-30 13:50:29,56816 Kbps,0 KB,80.38 s,1280x720@24
2023-11-30 13:50:30,55045 Kbps,440 KB,79.37 s,1280x720@24
2023-11-30 13:50:31,53825 Kbps,0 KB,84.02 s,1280x720@24
2023-11-30 13:50:32,53825 Kbps,0 KB,82.49 s,1280x720@24
2023-11-30 13:50:33,53825 Kbps,0 KB,81.47 s,1280x720@24
