timestamp,speed,network_activity,buffer_health,resolution
2023-11-30 14:20:10,42017 Kbps,0 KB,43.47 s,640x360@24
2023-11-30 14:20:11,42017 Kbps,0 KB,42.70 s,640x360@24
2023-11-30 14:20:12,42017 Kbps,0 KB,41.19 s,640x360@24
2023-11-30 14:20:13,42214 Kbps,0 KB,42.64 s,640x360@24
2023-11-30 14:20:14,44835 Kbps,1065 KB,41.63 s,640x360@24
2023-11-30 14:20:15,44771 Kbps,0 KB,68.17 s,640x360@24
2023-11-30 14:20:17,44771 Kbps,0 KB,67.15 s,640x360@24
2023-11-30 14:20:18,44771 Kbps,0 KB,66.15 s,640x360@24
2023-11-30 14:20:19,44771 Kbps,0 KB,65.15 s,640x360@24
2023-11-30 14:20:20,44771 Kbps,0 KB,63.63 s,640x360@24
2023-11-30 14:20:21,44771 Kbps,0 KB,62.62 s,640x360@24
2023-11-30 14:20:22,44771 Kbps,0 KB,61.61 s,640x360@24
2023-11-30 14:20:23,44771 Kbps,0 KB,60.60 s,640x360@24
2023-11-30 14:20:24,44771 Kbps,0 KB,59.60 s,640x360@24
2023-11-30 14:20:25,44771 Kbps,0 KB,58.58 s,640x360@24
2023-11-30 14:20:26,44771 Kbps,0 KB,57.08 s,640x360@24
2023-11-30 14:20:27,44771 Kbps,0 KB,56.07 s,640x360@24
2023-11-30 14:20:29,45195 Kbps,0 KB,83.14 s,640x360@24
2023-11-30 14:20:30,45195 Kbps,0 KB,82.13 s,640x360@24
2023-11-30 14:20:31,45195 Kbps,0 KB,81.13 s,640x360@24
2023-11-30 14:20:32,45195 Kbps,0 KB,80.11 s,640x360@24
2023-11-30 14:20:33,45195 Kbps,0 KB,81.03 s,640x360@24
2023-11-30 14:20:34,45195 Kbps,0 KB,79.50 s,640x360@24
2023-11-30 14:20:35,45195 Kbps,0 KB,78.50 s,640x360@24
2023-11-30 14:20:36,45195 Kbps,0 KB,77.48 s,640x360@24
2023-11-30 14:20:37,45195 Kbps,0 KB,76.48 s,640x360@24
2023-11-30 14:20:38,45195 Kbps,0 KB,75.47 s,640x360@24
2023-11-30 14:20:39,45195 Kbps,0 KB,74.45 s,640x360@24
2023-11-30 14:20:40,45195 Kbps,0 KB,72.93 s,640x360@24
2023-11-30 14:20:41,45195 Kbps,0 KB,71.93 s,640x360@24
2023-11-30 14:20:43,45195 Kbps,0 KB,70.91 s,640x360@24
2023-11-30 14:20:44,44661 Kbps,0 KB,80.57 s,640x360@24
2023-11-30 14:20:45,44661 Kbps,0 KB,79.56 s,640x360@24
2023-11-30 14:20:46,44661 Kbps,0 KB,81.55 s,640x360@24
2023-11-30 14:20:47,44661 Kbps,0 KB,80.54 s,640x360@24
2023-11-30 14:20:48,44661 Kbps,0 KB,86.03 s,640x360@24
2023-11-30 14:20:49,44661 Kbps,0 KB,85.02 s,640x360@24
