timestamp,speed,network_activity,buffer_health,resolution
2023-11-30 01:15:37,24983 Kbps,0 KB,12.56 s,1920x1080@24
2023-11-30 01:15:38,24983 Kbps,0 KB,11.54 s,1920x1080@24
2023-11-30 01:15:40,29589 Kbps,0 KB,16.37 s,1920x1080@24
2023-11-30 01:15:41,29589 Kbps,0 KB,14.87 s,1920x1080@24
2023-11-30 01:15:42,34431 Kbps,1429 KB,13.86 s,1920x1080@24
2023-11-30 01:15:43,39754 Kbps,0 KB,23.01 s,1920x1080@24
2023-11-30 01:15:44,39754 Kbps,0 KB,22.01 s,1920x1080@24
2023-11-30 01:15:45,39754 Kbps,0 KB,21.00 s,1920x1080@24
2023-11-30 01:15:46,39754 Kbps,0 KB,20.24 s,1920x1080@24
2023-11-30 01:15:47,45947 Kbps,0 KB,29.31 s,1920x1080@24
2023-11-30 01:15:48,45947 Kbps,0 KB,27.79 s,1920x1080@24
2023-11-30 01:15:49,45947 Kbps,0 KB,26.79 s,1920x1080@24
2023-11-30 01:15:50,45947 Kbps,0 KB,25.77 s,1920x1080@24
2023-11-30 01:15:51,44781 Kbps,311 KB,24.76 s,1920x1080@24
2023-11-30 01:15:53,44781 Kbps,0 KB,27.21 s,1920x1080@24
2023-11-30 01:15:54,44781 Kbps,0 KB,26.20 s,1920x1080@24
2023-11-30 01:15:55,50493 Kbps,0 KB,38.15 s,1920x1080@24
2023-11-30 01:15:56,50493 Kbps,0 KB,37.14 s,1920x1080@24
2023-11-30 01:15:57,50493 Kbps,0 KB,36.13 s,1920x1080@24
2023-11-30 01:15:58,50493 Kbps,0 KB,35.12 s,1920x1080@24
2023-11-30 01:15:59,50493 Kbps,0 KB,34.11 s,1920x1080@24
2023-11-30 01:16:00,52103 Kbps,821 KB,33.10 s,1920x1080@24
2023-11-30 01:16:01,52103 Kbps,0 KB,36.05 s,1920x1080@24
2023-11-30 01:16:02,52749 Kbps,0 KB,44.08 s,1920x1080@24
2023-11-30 01:16:03,52749 Kbps,0 KB,43.07 s,1920x1080@24
2023-11-30 01:16:04,52749 Kbps,0 KB,42.06 s,1920x1080@24
2023-11-30 01:16:06,52749 Kbps,0 KB,41.06 s,1920x1080@24
2023-11-30 01:16:07,56399 Kbps,1053 KB,46.63 s,1920x1080@24
2023-11-30 01:16:08,56399 Kbps,0 KB,52.62 s,1920x1080@24
2023-11-30 01:16:09,56399 Kbps,0 KB,51.10 s,1920x1080@24
2023-11-30 01:16:10,56399 Kbps,0 KB,50.10 s,1920x1080@24
2023-11-30 01:16:11,56399 Kbps,0 KB,49.09 s,1920x1080@24
2023-11-30 01:16:12,56399 Kbps,0 KB,48.08 s,1920x1080@24
2023-11-30 01:16:13,56399 Kbps,0 KB,47.07 s,1920x1080@24
2023-11-30 01:16:14,56399 Kbps,0 KB,46.06 s,1920x1080@24
2023-11-30 01:16:15,57954 Kbps,0 KB,50.96 s,1920x1080@24
2023-11-30 01:16:16,57954 Kbps,0 KB,49.96 s,1920x1080@24
2023-11-30 01:16:18,60081 Kbps,0 KB,48.94 s,1920x1080@24
2023-11-30 01:16:19,60081 Kbps,0 KB,47.93 s,1920x1080@24
2023-11-30 01:16:20,60081 Kbps,0 KB,46.92 s,1920x1080@24
2023-11-30 01:16:21,60081 Kbps,0 KB,45.91 s,1920x1080@24
2023-11-30 01:16:22,60081 Kbps,0 KB,51.41 s,1920x1080@24
2023-11-30 01:16:23,60081 Kbps,0 KB,50.39 s,1920x1080@24
2023-11-30 01:16:24,60081 Kbps,0 KB,49.38 s,1920x1080@24
2023-11-30 01:16:25,60081 Kbps,0 KB,48.38 s,1920x1080@24
2023-11-30 01:16:26,60081 Kbps,0 KB,47.36 s,1920x1080@24
2023-11-30 01:16:27,60081 Kbps,0 KB,46.36 s,1920x1080@24
2023-11-30 01:16:28,61668 Kbps,0 KB,49.39 s,1920x1080@24
2023-11-30 01:16:29,61668 Kbps,0 KB,47.88 s,1920x1080@24
2023-11-30 01:16:31,61668 Kbps,0 KB,46.87 s,1920x1080@24
2023-11-30 01:16:32,61668 Kbps,0 KB,51.87 s,1920x1080@24
2023-11-30 01:16:33,61668 Kbps,0 KB,50.86 s,1920x1080@24
2023-11-30 01:16:34,61668 Kbps,0 KB,49.85 s,1920x1080@24
2023-11-30 01:16:35,61668 Kbps,0 KB,48.83 s,1920x1080@24
2023-11-30 01:16:36,61668 Kbps,0 KB,47.83 s,1920x1080@24
2023-11-30 01:16:37,61668 Kbps,0 KB,46.30 s,1920x1080@24
2023-11-30 01:16:38,61668 Kbps,0 KB,48.28 s,1920x1080@24
