timestamp,speed,network_activity,buffer_health,resolution
2023-11-30 14:04:03,64601 Kbps,0 KB,83.04 s,854x480@24
2023-11-30 14:04:04,64601 Kbps,7 KB,82.04 s,854x480@24
2023-11-30 14:04:05,65033 Kbps,0 KB,88.02 s,854x480@24
2023-11-30 14:04:06,65033 Kbps,0 KB,86.51 s,854x480@24
2023-11-30 14:04:07,65033 Kbps,0 KB,85.50 s,854x480@24
2023-11-30 14:04:08,65033 Kbps,0 KB,84.49 s,854x480@24
2023-11-30 14:04:09,65033 Kbps,0 KB,83.49 s,854x480@24
2023-11-30 14:04:10,65033 Kbps,0 KB,82.47 s,854x480@24
2023-11-30 14:04:12,65033 Kbps,0 KB,85.80 s,854x480@24
2023-11-30 14:04:13,65033 Kbps,0 KB,84.78 s,854x480@24
2023-11-30 14:04:14,65033 Kbps,0 KB,83.77 s,854x480@24
2023-11-30 14:04:15,65033 Kbps,0 KB,82.75 s,854x480@24
2023-11-30 14:04:16,65033 Kbps,0 KB,88.98 s,854x480@24
2023-11-30 14:04:17,65033 Kbps,0 KB,87.97 s,854x480@24
2023-11-30 14:04:18,65033 Kbps,0 KB,86.46 s,854x480@24
2023-11-30 14:04:19,65033 Kbps,0 KB,85.44 s,854x480@24
2023-11-30 14:04:20,64285 Kbps,88 KB,84.43 s,854x480@24
2023-11-30 14:04:21,64285 Kbps,0 KB,83.42 s,854x480@24
2023-11-30 14:04:23,64285 Kbps,0 KB,82.40 s,854x480@24
2023-11-30 14:04:24,64285 Kbps,0 KB,87.86 s,854x480@24
2023-11-30 14:04:25,64285 Kbps,0 KB,86.85 s,854x480@24
2023-11-30 14:04:26,64285 Kbps,0 KB,85.85 s,854x480@24
2023-11-30 14:04:27,64285 Kbps,0 KB,84.83 s,854x480@24
2023-11-30 14:04:28,64285 Kbps,0 KB,83.82 s,854x480@24
2023-11-30 14:04:29,64285 Kbps,0 KB,88.30 s,854x480@24
2023-11-30 14:04:30,64285 Kbps,0 KB,87.28 s,854x480@24
2023-11-30 14:04:31,64285 Kbps,0 KB,86.27 s,854x480@24
2023-11-30 14:04:32,64285 Kbps,0 KB,85.26 s,854x480@24
2023-11-30 14:04:34,64285 Kbps,0 KB,84.25 s,854x480@24
2023-11-30 14:04:35,64285 Kbps,0 KB,83.25 s,854x480@24
2023-11-30 14:04:36,64285 Kbps,0 KB,87.74 s,854x480@24
2023-11-30 14:04:37,64285 Kbps,0 KB,86.72 s,854x480@24
2023-11-30 14:04:38,64285 Kbps,0 KB,85.70 s,854x480@24
2023-11-30 14:04:39,64285 Kbps,0 KB,84.69 s,854x480@24
2023-11-30 14:04:40,64285 Kbps,0 KB,83.68 s,854x480@24
2023-11-30 14:04:41,64285 Kbps,0 KB,82.15 s,854x480@24
2023-11-30 14:04:42,64285 Kbps,0 KB,84.38 s,854x480@24
